"08/10/2017","4","6","9","16","22"
"08/09/2017","7","9","21","25","27"
"08/08/2017","8","23","30","34","35"
"08/07/2017","7","12","14","27","34"
"08/06/2017","12","17","18","23","38"
"08/05/2017","2","3","14","35","38"
"08/04/2017","8","11","35","38","39"
"08/03/2017","5","14","28","40","41"
"08/02/2017","1","12","21","31","38"
"08/01/2017","15","22","23","36","37"
"07/31/2017","6","13","20","31","33"
"07/30/2017","21","22","24","25","26"
"07/29/2017","16","17","24","40","41"
"07/28/2017","9","31","32","33","35"
"07/27/2017","7","12","22","34","41"
"07/26/2017","11","16","29","30","39"
"07/25/2017","1","2","7","10","25"
"07/24/2017","9","21","25","28","31"
"07/23/2017","3","5","18","19","37"
"07/22/2017","4","12","18","30","38"
"07/21/2017","14","21","36","38","40"
"07/20/2017","4","7","25","29","34"
"07/19/2017","2","8","16","17","19"
"07/18/2017","23","24","25","34","35"
"07/17/2017","2","28","34","35","39"
"07/16/2017","3","10","22","30","40"
"07/15/2017","3","12","13","16","27"
"07/14/2017","6","10","26","27","32"
"07/13/2017","17","22","24","25","28"
"07/12/2017","3","9","26","32","33"
"07/11/2017","5","15","17","18","36"
"07/10/2017","7","12","13","23","39"
"07/09/2017","14","15","30","33","41"
"07/08/2017","10","13","14","16","39"
"07/07/2017","11","21","25","31","39"
"07/06/2017","12","15","21","22","26"
"07/05/2017","6","8","13","28","39"
"07/04/2017","3","19","23","27","36"
"07/03/2017","10","25","29","39","41"
"07/02/2017","9","16","20","31","34"
"07/01/2017","2","8","9","33","37"
"06/30/2017","4","21","27","28","35"
"06/29/2017","2","12","21","23","38"
"06/28/2017","4","5","12","16","20"
"06/27/2017","1","8","21","33","38"
"06/26/2017","1","9","12","18","36"
"06/25/2017","5","17","20","22","25"
"06/24/2017","14","21","27","31","41"
"06/23/2017","11","12","23","28","41"
"06/22/2017","9","22","25","34","35"
"06/21/2017","5","12","19","22","39"
"06/20/2017","5","13","14","17","33"
"06/19/2017","4","16","26","27","37"
"06/18/2017","9","18","31","34","39"
"06/17/2017","9","17","33","35","40"
"06/16/2017","16","20","22","37","40"
"06/15/2017","2","14","19","22","32"
"06/14/2017","4","5","21","29","36"
"06/13/2017","2","9","22","32","35"
"06/12/2017","9","13","24","36","40"
"06/11/2017","3","7","9","10","28"
"06/10/2017","4","20","21","23","41"
"06/09/2017","12","18","26","28","34"
"06/08/2017","3","23","24","27","37"
"06/07/2017","4","5","26","34","36"
"06/06/2017","3","5","15","25","34"
"06/05/2017","4","7","9","23","32"
